date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:59:42	48811/48811	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2015:12:47%20GMT	https://readster-template.webflow.io/shop	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/shop.html	(from )
20:59:42	52990/52990	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2016:38:55%20GMT	https://readster-template.webflow.io/about-us	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/about-us.html	(from )
20:59:43	71211/71211	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2015:05:39%20GMT	https://readster-template.webflow.io/	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/index.html	(from )
20:59:43	36212/36212	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2016:39:02%20GMT	https://readster-template.webflow.io/category/biography	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/category/biography.html	(from )
20:59:43	40810/40810	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:44%20GMT	https://readster-template.webflow.io/product/a-promised-land	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/product/a-promised-land.html	(from )
20:59:44	20/20	---MCZ	200	added ('OK')	text/plain	date:Tue,%2002%20Jun%202026%2017:59:44%20GMT	https://readster-template.webflow.io/robots.txt		(from )
20:59:44	133048/133048	---M-Z	200	added ('OK')	text/css	etag:%22d880c86c53794af0a17b10929d3ca1a9%22	https://assets-global.website-files.com/6491518bb88c5c4729ea8883/css/readster-template.webflow.ac103dc69.css	C:/My%20Web%20Sites/bookstore/assets-global.website-files.com/6491518bb88c5c4729ea8883/css/readster-template.webflow.ac103dc69.css	(from https://readster-template.webflow.io/)
20:59:44	1224/1224	---M--	200	added ('OK')	image/jpeg	etag:%220aefb724c30b7610acf3e653c5716375%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b4d0a577901d548fcf1133_favicon-small.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b4d0a577901d548fcf1133_favicon-small.jpg	(from https://readster-template.webflow.io/)
20:59:45	8408/8408	---M--	200	added ('OK')	image/jpeg	etag:%2252d7cff51b5a2b9db74606e3bc797412%22	https://cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b4d0aae72d81d58728c64a_favicon-big.jpg	C:/My%20Web%20Sites/bookstore/cdn.prod.website-files.com/6491518bb88c5c4729ea8883/64b4d0aae72d81d58728c64a_favicon-big.jpg	(from https://readster-template.webflow.io/)
20:59:45	38133/38133	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:46%20GMT	https://readster-template.webflow.io/category/novel	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/category/novel.html	(from https://readster-template.webflow.io/)
20:59:46	39366/39366	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:46%20GMT	https://readster-template.webflow.io/category/self-help	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/category/self-help.html	(from https://readster-template.webflow.io/)
20:59:46	45021/45021	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2016:39:00%20GMT	https://readster-template.webflow.io/blog	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/blog.html	(from https://readster-template.webflow.io/)
20:59:46	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2002%20Jun%202026%2017:59:46%20GMT	https://readster-template.webflow.io/contact	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/contact	(from https://readster-template.webflow.io/)
20:59:46	78465/78465	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Jun%202026%2017:59:47%20GMT	https://readster-template.webflow.io/checkout	C:/My%20Web%20Sites/bookstore/readster-template.webflow.io/checkout.html	(from https://readster-template.webflow.io/)
